date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2009-07-24 00:00:00+00:00,86.49,88.9,85.5,87.6,19204600,86.49,88.9,85.5,87.6,19204600,0.0,1.0
2009-07-27 00:00:00+00:00,84.24,86.49,83.56,86.24,11279300,84.24,86.49,83.56,86.24,11279300,0.0,1.0
2009-07-28 00:00:00+00:00,84.98,85.64,82.6,83.84,8774900,84.98,85.64,82.6,83.84,8774900,0.0,1.0
2009-07-29 00:00:00+00:00,84.34,85.5,83.52,84.47,6502900,84.34,85.5,83.52,84.47,6502900,0.0,1.0
2009-07-30 00:00:00+00:00,86.09,87.25,85.17,85.64,7253200,86.09,87.25,85.17,85.64,7253200,0.0,1.0
2009-07-31 00:00:00+00:00,85.76,86.75,84.62,85.76,5886900,85.76,86.75,84.62,85.76,5886900,0.0,1.0
2009-08-03 00:00:00+00:00,87.44,88.2,86.56,86.56,6663000,87.44,88.2,86.56,86.56,6663000,0.0,1.0
2009-08-04 00:00:00+00:00,85.8,87.48,84.93,87.48,6177900,85.8,87.48,84.93,87.48,6177900,0.0,1.0
2009-08-05 00:00:00+00:00,84.29,85.75,83.02,85.64,7279400,84.29,85.75,83.02,85.64,7279400,0.0,1.0
2009-08-06 00:00:00+00:00,84.47,84.84,83.05,84.31,4693000,84.47,84.84,83.05,84.31,4693000,0.0,1.0
2009-08-07 00:00:00+00:00,85.32,85.96,84.1,84.1,5628000,85.32,85.96,84.1,84.1,5628000,0.0,1.0
2009-08-10 00:00:00+00:00,84.44,85.47,83.27,85.01,4440600,84.44,85.47,83.27,85.01,4440600,0.0,1.0
2009-08-11 00:00:00+00:00,83.56,84.4,82.45,83.64,5025000,83.56,84.4,82.45,83.64,5025000,0.0,1.0
2009-08-12 00:00:00+00:00,85.96,86.6,83.38,83.42,5619400,85.96,86.6,83.38,83.42,5619400,0.0,1.0
2009-08-13 00:00:00+00:00,84.6,86.37,84.07,85.72,5712400,84.6,86.37,84.07,85.72,5712400,0.0,1.0
2009-08-14 00:00:00+00:00,83.58,84.17,82.78,84.11,4924700,83.58,84.17,82.78,84.11,4924700,0.0,1.0
2009-08-17 00:00:00+00:00,81.06,81.78,80.25,81.16,6888600,81.06,81.78,80.25,81.16,6888600,0.0,1.0
2009-08-18 00:00:00+00:00,82.12,82.6898,80.79,81.41,5884400,82.12,82.6898,80.79,81.41,5884400,0.0,1.0
2009-08-19 00:00:00+00:00,83.0,83.0,80.49,80.91,5170600,83.0,83.0,80.49,80.91,5170600,0.0,1.0
2009-08-20 00:00:00+00:00,84.09,84.35,82.66,82.98,5375000,84.09,84.35,82.66,82.98,5375000,0.0,1.0
2009-08-21 00:00:00+00:00,85.0,85.06,83.54,84.78,6130700,85.0,85.06,83.54,84.78,6130700,0.0,1.0
